CallFlow,CallTransfer,CallLogs
"MainMenuNI1
MainMenu
FraudInfoNav_5
FraudInfoNav_1","LanguageField: En;
GenesysClient=wunion;
SkillField=7999;
VRUTranTypeField = IVR EN;",e4010-20170426185718000-384.txt
"TriageMenu_1
REFAddressConfNoBarge_1",,e3129-20170511162642241-523.txt
4125,transfertype_module=Billing;,e3129-20170511162642241-523.txt
 ,,
"MainMenuNI1
MainMenu
MainMenuNI2",skillfield=7999;,e4010-20170504174713447-896.txt
MainMenu,,
FraudInfoNav_2,,
hello,,
"WelcomeNoID
FraudInfoNav_2
IntentStatus3
MoreOptions",languagefield=EN;,e4010-20170426185718000-386.txt
 ,,
 ,,
 ,"Skill = 7999;
LanguageField = en-us ; 
TransactionTypeField: 5; 
VRUTranTypeField: ExchangeRate EN;
",
,"CTCallType = Payment;
CTTransferVar = WhichStoredCC_fail;
CallTypeCode = 12041;
PhoneNum = 866-381-9807;
Description = FCC - Billing and Payment Split;",
,,
,"transferType_module = Technical;
transferType_type = VID;
termToTransfer = 794501811120;",
